EQ,act_acc,action,b_type,group,human_act,mag0,mag1,nll,p_s,pi_0,pi_1,pi_comp,rew,rt,run,state,sub_id,trial
0.9049999769410715,0.5000000234048224,0.0,1,CON,1.0,0.97,0.84,0.6931472273695902,0.5,0.999999996244334,5.056531092650442e-08,0.6931466922208773,0.0,1402.0,0.0,1,n29,0
0.5597411670812378,0.5008086508873302,1.0,1,CON,1.0,0.32,0.8,0.6915311852094018,0.5,0.9983825828060245,1.1541931583281521e-07,0.6872411482317022,0.8,400.0,0.0,1,n29,1
0.3450084438628066,0.5415695584051835,0.0,1,CON,0.0,0.58,0.12,0.613283765748844,0.5,0.9999908310612248,0.08314828574914225,0.5499067225032859,0.0,752.0,0.0,1,n29,2
0.44232029395796224,0.5157614807466053,1.0,1,CON,0.0,0.17,0.72,0.7251776852808908,0.5,0.9684764670121493,5.714946396381202e-07,0.6236152860341548,0.0,2081.0,0.0,0,n29,3
0.8499997977069267,0.5000002773348281,1.0,1,CON,0.0,0.72,0.98,0.693147735229757,0.5,0.9999994422574058,3.072936315066454e-09,0.6931429042621045,0.98,3229.0,0.0,1,n29,4
0.35917355150670827,0.558251853799875,0.0,1,CON,0.0,0.63,0.1,0.5829450675331694,0.5,0.9999965394156047,0.1165071681841451,0.5147644757806022,0.0,2295.0,0.0,1,n29,5
0.589840493227394,0.49954437044388994,0.0,1,CON,0.0,0.35,0.83,0.6940588551211572,0.5,0.999088679145462,6.174231789348232e-08,0.6895011570245841,0.0,2795.0,0.0,1,n29,6
0.38953802889258154,0.49847972289777903,1.0,1,CON,0.0,0.49,0.29,0.6901112394918107,0.5,0.9999459211595527,0.0030946330448883546,0.6824092098798444,0.0,2864.0,0.0,0,n29,7
0.5130589912158738,0.38431654692975725,1.0,1,CON,1.0,0.98,0.06,0.9562887250139039,0.5,0.9999999969232469,0.2313669092172382,0.42275627545986494,0.06,3964.0,0.0,1,n29,8
0.7449943451006058,0.5000104645038158,1.0,1,CON,0.0,0.54,0.95,0.6931681097865929,0.5,0.9999790655328601,5.459507087593403e-09,0.6931075088248099,0.0,2964.0,0.0,0,n29,9
0.719999027649296,0.4999986010220447,0.0,1,CON,1.0,0.64,0.8,0.6931443826079489,0.5,0.9999970950929602,1.0695112918371836e-07,0.69344996422951,0.0,3720.0,0.0,1,n29,10
0.45485784704009125,0.5003742804341421,1.0,1,CON,1.0,0.36,0.55,0.6923988997236092,0.5,0.9992351490138749,1.62901178415758e-05,0.6899911254939115,0.55,2294.0,0.0,1,n29,11
0.5987301026300884,0.4942277480430904,1.0,1,CON,1.0,0.98,0.22,0.7047588396078593,0.5,0.9999999967676807,0.011544507146137865,0.6622550418657323,0.0,2954.0,0.0,0,n29,12
0.22040410629572263,0.5298064722072876,1.0,1,CON,0.0,0.14,0.31,0.754610907767347,0.5,0.9385071107176154,0.0018799448678093222,0.5692520901139809,0.0,589.0,0.0,0,n29,13
0.439429056833454,0.49796966199834486,0.0,1,CON,0.0,0.28,0.6,0.6972161234952018,0.5,0.9959337591646837,5.564832005971459e-06,0.6809138393582457,0.0,2479.0,0.0,1,n29,14
0.7049994286203484,0.49999966840741367,1.0,1,CON,0.0,0.73,0.68,0.6931465173749924,0.5,0.9999995093663929,1.1538187797697083e-06,0.6937905919191265,0.0,2020.0,0.0,0,n29,15
0.5299727270247476,0.5000528634729641,1.0,1,CON,1.0,0.46,0.6,0.6930414592027168,0.5,0.9998886961150361,5.5769390352396554e-06,0.6937156707702447,0.0,3764.0,0.0,0,n29,16
0.5847647789597519,0.5007349803313594,0.0,1,CON,1.0,0.85,0.32,0.6946182226747649,0.5,0.9999999532748494,0.0014700073878694492,0.6895367080881567,0.0,2666.0,0.0,1,n29,17
0.9349999895317276,0.4999999910430177,1.0,1,CON,1.0,0.99,0.88,0.6931471984739102,0.5,0.9999999972340881,2.0679876339031684e-08,0.6942535141683999,0.88,1210.0,0.0,1,n29,18
0.9199999847942855,0.5000000139493849,1.0,1,CON,0.0,0.87,0.97,0.6931472084587152,0.5,0.9999999687645453,3.336685194587488e-09,0.6948948460986186,0.97,3620.0,0.0,1,n29,19
0.6649351088914084,0.49984174336702436,0.0,1,CON,0.0,0.41,0.92,0.6934637439267923,0.5,0.9996834778783013,8.855747470310295e-09,0.6942165158873237,0.41,2549.0,0.0,0,n29,20
0.33958260135607987,0.5005977570504848,1.0,1,CON,1.0,0.32,0.36,0.6919523805169042,0.5,0.9981394376997216,0.0006650481993086004,0.6851872315465195,0.36,2367.0,0.0,1,n29,21
0.35605100176763904,0.5303530303408736,0.0,1,CON,1.0,0.59,0.13,0.755773994901137,0.5,0.9999913769776463,0.060714683704100894,0.5852557909006353,0.0,2588.0,0.0,1,n29,22
0.6499898003257515,0.5000202357529538,0.0,1,CON,0.0,0.8,0.5,0.693106709872987,0.5,0.9999998741572743,4.0597348633397736e-05,0.6944835013668478,0.8,3050.0,0.0,0,n29,23
0.5499858514950613,0.4999772727375591,1.0,1,CON,1.0,0.61,0.49,0.6931926361179154,0.5,0.9999945233702857,5.0931154594926396e-05,0.6937385366996713,0.0,,0.0,0,n29,24
0.8949999823245189,0.50000001090146,1.0,1,CON,0.0,0.87,0.92,0.6931472023628629,0.5,0.99999996904489,9.152192651407331e-09,0.6946386206361588,0.92,1885.0,0.0,1,n29,25
0.6145483583527572,0.5016129918223232,0.0,1,CON,1.0,0.95,0.28,0.6963783789078817,0.5,0.9999999935983865,0.003225990046260001,0.6847176843879709,0.0,1490.0,0.0,1,n29,26
